pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
4762813376.jpg#0r1e,neutral,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The young boy is completing a heist.,Not all armed young boys speeding away in cars are completing a heist.,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt., The young boy is *completing* *a* *heist.*,{},"6,4,5","There is no indication of the boy's intent or what has come before. He may have completed a heist, or he may be on his way to one.",A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt., The young boy is *completing* *a* *heist.*,{},"4,5,6",Just because a young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt doesn't mean he is completing a heist.,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt., The young boy is *completing* *a* *heist.*,{},"4,5,6"
4762813376.jpg#0r1c,neutral,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The bank has just been robbed.,The bank has not necessarily just been robbed.,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt., The *bank* has *just* *been* *robbed.*,{},"1,5,3,4","We don't know the intent of the boy in question, or his whereabouts. The bank may have been robbed, but there is nothing that connects event 1 with event 2.",A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt., The *bank* *has* *just* *been* *robbed.*,{},"1,2,3,4,5",Just because a young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt doesn't mean the bank has just been robbed.,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt., The *bank* *has* *just* *been* *robbed.*,{},"1,2,3,4,5"
2803374338.jpg#2r1n,neutral,A man in the middle east with a corn-on-the-cob cart selling corn.,An old middle eastern man is selling corn-on-the-cob from his brother's cart.,You can not infer the man is old.,A man in the middle east with a corn-on-the-cob cart selling corn., An *old* middle eastern man is selling corn-on-the-cob from his brother's cart.,{},1,"We don't know the age of the man selling corn, so he could be young or old. We don't know who owns the cart; it could belong to the man's brother or to the man.",A man in the middle east with a corn-on-the-cob cart selling corn., An *old* middle eastern *man* is selling corn-on-the-cob *from* *his* *brother's* cart.,{},"1,4,8,9,10",Just because a man in the middle east with a corn-on-the-cob cart selling corn doesn't mean he is old.,A man in the middle east with a corn-on-the-cob cart selling corn., An *old* middle eastern man is selling corn-on-the-cob from his brother's cart.,{},1
2803374338.jpg#2r1e,entailment,A man in the middle east with a corn-on-the-cob cart selling corn.,"In the middle east, a man sells corn-on-the-cob from a cart.",Corn-on-the-cob cart selling corn is a rephrasing of sells corn-on-the-cob from a cart., A man in the middle east with a *corn-on-the-cob* *cart* *selling* *corn.*," In the middle east, a man *sells* *corn-on-the-cob* *from* *a* *cart.*","8,9,10,11","6,7,10,9,8",The man is selling corn-on-the-cob., A man in the middle east with a *corn-on-the-cob* *cart* *selling* *corn.*," In the middle east, a *man* *sells* *corn-on-the-cob* from a cart.","8,9,10,11","5,6,7",Selling is the same as sells.  The man is selling corn from his cart., A *man* in the middle east with a corn-on-the-cob *cart* *selling* corn.," In the middle east, a *man* *sells* corn-on-the-cob from a *cart.*","1,10,9","10,5,6"
2803374338.jpg#2r1c,contradiction,A man in the middle east with a corn-on-the-cob cart selling corn.,A middle east man is throwing corn at strangers.,A man with a corn-on-the-cob cart could not have been throwing corn at strangers.,A man in the middle east *with* *a* *corn-on-the-cob* *cart* selling corn.,A middle east man is *throwing* *corn* *at* *strangers.*,"6,7,8,9","5,6,7,8",He cannot sell corn if he is throwing it at strangers.,A man in the middle east with a corn-on-the-cob cart *selling* *corn.*,A middle east man is *throwing* *corn* at strangers.,"10,11","5,6",A man selling corn is not a man throwing corn.,A man in the middle east with a corn-on-the-cob cart *selling* corn.,A middle east man is *throwing* corn at strangers.,10,5
314454989.jpg#4r1n,entailment,A man in a black shirt is playing a guitar.,He is playing a song.,It makes sense for the guitarist to be playing a song, A man in a black shirt is playing a *guitar.*, He is playing a *song.*,9,4,If the man is playing guitar the guitar will play music or a song., A man in a black shirt is playing a *guitar.*, He is playing a *song.*,9,4,"Playing a guitar is playing a song, and man in a black shirt is he.", A *man* *in* *a* *black* *shirt* is *playing* *a* *guitar.*, *He* is *playing* *a* *song.*,"7,8,9,1,2,3,4,5","2,3,4,0"
314454989.jpg#4r1c,contradiction,A man in a black shirt is playing a guitar.,The man is wearing a blue shirt.,Either the shirt is blue or it is black.,A man in *a* *black* *shirt* is playing a guitar.,The man is wearing *a* *blue* *shirt.*,"3,4,5","5,4,6",A man in a black shirt cannot be wearing a blue shirt simultaneously.,*A* *man* *in* *a* *black* *shirt* is playing a guitar.,The man is *wearing* *a* *blue* *shirt.*,"1,0,4,5,2,3","3,4,5,6",The man cannot be wearing a black shirt and a blue shirt.,A man in a *black* *shirt* is playing a guitar.,The man is wearing a *blue* *shirt.*,"4,5","5,6"
314454989.jpg#4r1e,entailment,A man in a black shirt is playing a guitar.,The man is wearing black.,The man is in a black shirt meaning he must be wearing black., A man in a *black* *shirt* is playing a guitar., The man is *wearing* *black.*,"4,5","3,4",A man in black is wearing black., A man *in* a *black* shirt is playing a guitar., The man is *wearing* *black.*,"2,4","3,4","A shirt is something you wear, so a man in a black shirt is wearing black.", A *man* in a *black* *shirt* is playing a guitar., The *man* is wearing *black.*,"1,4,5","1,4"
3687996569.jpg#1r1c,contradiction,"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",A group of people in a motorcade driving past an audience.,Walking and driving are different actions," Colorfully dressed people *walk* down the center of the road, with onlookers behind a barricade.",A group of people in a motorcade *driving* past an audience.,3,7,The group of people either walk down the center of the road or are in a motorcade driving past an audience.," Colorfully dressed people *walk* *down* *the* *center* *of* *the* *road,* with onlookers behind a barricade.",A group of people *in* *a* *motorcade* *driving* past an audience.,"3,4,5,6,7,8,9","4,5,6,7",group of people can't be driving and at the same time walk down center of road," Colorfully dressed people *walk* *down* the *center* *of* the *road,* with onlookers behind a barricade.",A group of people in a motorcade *driving* past an audience.,"3,4,6,9,7",7
3687996569.jpg#1r1e,entailment,"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",A group of people walking down a road.,"A group of people walk down the road, with onlookers behind a barricade."," Colorfully dressed people *walk* down the center of *the* *road,* with *onlookers* *behind* a *barricade.*", A *group* of *people* walking *down* a road.,"9,11,12,14,3,8","1,3,5",walk down the center of the road is inferred as walking down a road.," Colorfully dressed people *walk* *down* *the* *center* *of* *the* *road,* with onlookers behind a barricade.", A group of people *walking* *down* *a* *road.*,"6,7,8,9,3,4,5","6,7,4,5",People can walk down a road whether in or group or not.," Colorfully dressed *people* *walk* *down* the center of the *road,* with onlookers behind a barricade.", A group of *people* *walking* *down* a *road.*,"9,3,4,2","7,4,5,3"
3687996569.jpg#1r1n,neutral,"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",A group of people walking past a group of civilian spectators.,Onlookers behind a barricade aren't always civilian spectators.,"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.", A group of people walking past a group of *civilian* *spectators.*,{},"9,10",We don't know the military status of the onlookers. They could be civilian or military.,"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.", A group of people walking past a group of *civilian* spectators.,{},9,"Just because colorfully dressed people walk down the center of the road, with onlookers behind a barricade doesn't mean they are walking  past a group of civilian spectators.","Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.", A group of people *walking* *past* *a* *group* *of* *civilian* *spectators.*,{},"4,5,6,7,8,9,10"
193596775.jpg#3r1c,contradiction,A woman is talking on the phone while standing next to a dog.,A woman is sleeping.,The woman cannot be both standing and talking on the phone while also sleeping.,A woman is *talking* on the *phone* while *standing* next to a dog.,A woman is *sleeping.*,"3,6,8",3,If a woman is talking and standing on the phone then the woman is not sleeping.,A *woman* is *talking* on the *phone* *while* *standing* next to a dog.,A woman is *sleeping.*,"3,6,1,8,7",3,A woman cannot be talking while standing and sleeping.,A woman is *talking* on the phone while *standing* next to a dog.,A woman is *sleeping.*,"3,8",3
193596775.jpg#3r1n,neutral,A woman is talking on the phone while standing next to a dog.,A woman is walking her dog.,A woman standing next to a dog is not necessarily walking her dog.,A woman is talking on the phone while standing next to a dog., A woman is *walking* *her* dog.,{},"3,4","The woman is standing next to a dog, but it may not be her dog. We cannot conclude that she is walking her dog.",A woman is talking on the phone while standing next to a dog., A woman is *walking* *her* *dog.*,{},"3,4,5",Just because a woman is talking on the phone while standing next to a dog doesn't mean she is walking her dog.,A woman is talking on the phone while standing next to a dog., A woman is *walking* *her* *dog.*,{},"3,4,5"
193596775.jpg#3r1e,entailment,A woman is talking on the phone while standing next to a dog.,A woman is on the phone.,"Sentence 2 is a shortened version of sentence 1, where a woman is on the phone.", A *woman* is talking *on* the *phone* while standing next to a dog., A *woman* is *on* the *phone.*,"1,4,6","1,3,5",A WOMAN USES HER PHONE, A *woman* is talking on the *phone* while standing next to a dog., A *woman* is on the *phone.*,"1,6","1,5","""Talking on the phone"" is the same as ""on the phone.""", A woman is *talking* *on* *the* *phone* while standing next to a dog., A woman is *on* *the* *phone.*,"3,4,5,6","3,4,5"
3467843559.jpg#0r1c,neutral,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The boys are all wearing yellow.,Boys are not assumed to be wearing yellow.,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling., The boys are all wearing *yellow.*,{},5,"We know the boys are all wearing t-shirts, but we do not know the color of those t-shirts.",Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling., The boys are *all* *wearing* *yellow.*,{},"3,4,5",Just because three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling doesn't mean they are wearing yellow.,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling., The boys are all *wearing* *yellow.*,{},"4,5"
3467843559.jpg#0r1n,neutral,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The boy is crouching down to take a picture.,Just because a boy is holding a camera doesn't mean that he is crouching down.,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling., The boy is *crouching* *down* to take a picture.,{},"3,4","Just because he is holding a camera, doesn't mean he is crouching.",Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling., The boy is *crouching* down to take a picture.,{},3,A boy may hold a camera without intending to take a picture.,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling., The boy is crouching down to take a *picture.*,{},8
3467843559.jpg#0r1e,entailment,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The young boy has a camera.,Holding a camera implies has a camera., Three young boys one is *holding* *a* *camera* and another is holding a green toy all are wearing t-shirt and smiling., The young boy *has* *a* *camera.*,"5,6,7","3,4,5","The boy holding a camera, has a camera.", Three young boys one is *holding* a *camera* and another is holding a green toy all are wearing t-shirt and smiling., The young boy *has* a *camera.*,"5,7","3,5",The boy has a camera because he is holding a camera., Three young boys one is *holding* a *camera* and another is holding a green toy all are wearing t-shirt and smiling., The young boy *has* a *camera.*,"5,7","3,5"
2314492671.jpg#1r1c,contradiction,5 women sitting around a table doing some crafts.,Five men stand on chairs.,The group is either of men or women.  The people are either sitting or standing.,5 *women* *sitting* around a table doing some crafts.,Five *men* *stand* on chairs.,"1,2","1,2",They can't be both men and women.,5 *women* sitting around a table doing some crafts.,Five *men* stand on chairs.,1,1,They can't be both women and men.,5 *women* sitting around a table doing some crafts.,Five *men* stand on chairs.,1,1
2314492671.jpg#1r1e,entailment,5 women sitting around a table doing some crafts.,Five women sit at a table.,Sitting around a table is a paraphrase of sit at a table., 5 women *sitting* *around* *a* *table* doing some crafts., Five women *sit* *at* *a* *table.*,"2,3,4,5","2,3,4,5",Five women can sit at a table to do crafts., 5 *women* *sitting* around a *table* doing some *crafts.*, *Five* *women* *sit* at a *table.*,"1,2,5,8","0,1,2,5",Crafts can be done at a table., 5 women sitting around a *table* doing some *crafts.*, Five women sit at a *table.*,"8,5",5
2314492671.jpg#1r1n,neutral,5 women sitting around a table doing some crafts.,Five friends sit at a table.,Friends are not always all women.,5 women sitting around a table doing some crafts., Five *friends* sit at a table.,{},1,"Just because they are sitting together, doesn't mean they are friends.",5 women sitting around a table doing some crafts., Five *friends* sit at a table.,{},1,Women may sit at a table working on crafts without being friends.,5 women sitting around a table doing some crafts., Five *friends* sit at a table.,{},1
5587932348.jpg#1r1n,neutral,Street performer with bowler hat and high boots performs outside.,The man is performing a magic act.,"The street performer could be doing a different act, not just a magic act.",Street performer with bowler hat and high boots performs outside., The man is performing a *magic* act.,{},5,"Just because he is performing, doesn't mean he is performing magic.",Street performer with bowler hat and high boots performs outside., The man is performing a *magic* act.,{},5,Not all street performers do a magic act.,Street performer with bowler hat and high boots performs outside., The man is performing a *magic* *act.*,{},"5,6"
5587932348.jpg#1r1e,entailment,Street performer with bowler hat and high boots performs outside.,The person is performing.,If a person is performing outside it implies that they are a street performer., *Street* *performer* with bowler hat and high boots *performs* *outside.*, The *person* *is* *performing.*,"0,1,8,9","1,2,3",A street performer is a person., *Street* *performer* with bowler hat and high boots performs outside., *The* *person* is performing.,"0,1","0,1",Street performer is performing outside., *Street* *performer* with bowler hat and high boots performs *outside.*, The person is *performing.*,"9,1,0",3
5587932348.jpg#1r1c,contradiction,Street performer with bowler hat and high boots performs outside.,The child is dancing inside.,"The street performer most likely refers to an adult, not a child. Outside and inside are opposites.",*Street* *performer* with bowler hat and high boots performs *outside.*,The *child* is dancing *inside.*,"0,1,9","1,4",The Street performer is not be a child.,*Street* *performer* with bowler hat and high boots *performs* *outside.*,The *child* is *dancing* inside.,"0,1,8,9","3,1",street performer can't be both inside and outside at same time.,*Street* *performer* with bowler hat and high boots performs *outside.*,The child is *dancing* *inside.*,"0,1,9","3,4"
474008209.jpg#3r1n,neutral,A young boy playing in the grass.,The boy is playing make believe.,Just because he is playing in the grass does not mean he is playing make believe.,A young boy playing in the grass., The boy is *playing* *make* *believe.*,{},"4,5,3","Just because he is playing, there is no implication that he is playing make believe.",A young boy playing in the grass., The boy is playing *make* *believe.*,{},"4,5",A boy may play in the grass and not be playing make believe.,A young boy playing in the grass., The boy is playing *make* *believe.*,{},"4,5"
474008209.jpg#3r1e,entailment,A young boy playing in the grass.,There is a child in the grass.,A young boy is a child., A *young* *boy* playing in the grass., There is a *child* in the grass.,"1,2",3,A young boy is a child., A *young* *boy* playing in the grass., There is a *child* in the grass.,"1,2",3,A young boy can be child., A *young* *boy* playing in the grass., There is a *child* in the grass.,"1,2",3
474008209.jpg#3r1c,contradiction,A young boy playing in the grass.,The boy is in the sand.,The boy cannot play in the grass and the sand at the same time.,A young boy playing in the *grass.*,The boy is in the *sand.*,6,5,"The boy is either in the grass or the sand, not both.",A young boy playing in the *grass.*,The boy is in the *sand.*,6,5,"If a boy is playing in the grass, he cannot be in the sand at the same time.",A young boy *playing* *in* *the* *grass.*,The boy is in the *sand.*,"3,4,5,6",5
3015368588.jpg#0r1n,neutral,Two men playing baseball with the one in the black and red jersey running toward base.,The man in black and red is about to score the winning run.,"Baseball consists of people running the bases all game, the winning run can only happen once per game.",Two men playing baseball with the one in the black and red jersey running toward base., The man in black and red is about to score the *winning* *run.*,{},"11,12","Just because he is running toward base, doesn't mean he is about to score the winning run.",Two men playing baseball with the one in the black and red jersey running toward base., The man in black and red is *about* *to* *score* *the* *winning* *run.*,{},"7,8,9,10,11,12","Not every home run scored in a game is the winning run.  Also, not every base on the field is home base.",Two men playing baseball with the one in the black and red jersey running toward base., The man in black and red is about to score the *winning* *run.*,{},"11,12"
3015368588.jpg#0r1e,entailment,Two men playing baseball with the one in the black and red jersey running toward base.,There is a baseball game going on.,Baseball game implies playing baseball., Two men *playing* *baseball* with the one in the black and red jersey running toward base., There is a *baseball* *game* going on.,"2,3","3,4",Running toward base implies a baseball game., Two men playing baseball with the one in the black and red jersey *running* *toward* *base.*, There is a *baseball* *game* going on.,"13,14,15","3,4",Running toward base is nothing but going on, Two men playing baseball with the one in the black and red jersey *running* *toward* *base.*, There is a baseball game going on.,"13,15,14",{}
3015368588.jpg#0r1c,contradiction,Two men playing baseball with the one in the black and red jersey running toward base.,The man in black and red is sitting in the bleachers.,The man in the jersey cannot be running and sitting simultaneously,Two men playing baseball with the one in the black and red jersey *running* toward base.,The man in black and red is *sitting* in the bleachers.,13,7,One cannot be both running and sitting at the same time.,Two men playing baseball with the one in the black and red jersey *running* toward base.,The man in black and red is *sitting* in the bleachers.,13,7,Sitting in the bleachers usually means your watching the game instead of playing.,Two men *playing* baseball with the one in the black and red jersey running toward base.,The man in black and red is *sitting* *in* *the* *bleachers.*,2,"10,9,8,7"
4958897418.jpg#4r1n,neutral,A man and a woman are looking at produce on display.,A man and women are staring at heads of lettuce.,People can star at produce without it being heads of lettuce.,A man and a woman are looking at produce on display., A man and women are staring at *heads* *of* *lettuce.*,{},"7,8,9",Produce doesn't mean it had to be lettuce.,A man and a woman are looking at produce on display., A man and women are staring at heads of *lettuce.*,{},9,"A man and woman may inspect produce, and this does not imply that they are staring at heads of lettuce.",A man and a woman are looking at produce on display., A man and women are *staring* *at* *heads* *of* *lettuce.*,{},"7,8,9,5,6"
4958897418.jpg#4r1c,contradiction,A man and a woman are looking at produce on display.,Two men throw produce at each other for fun.,A man and a woman is different from two men and while one is looking at a produce the other throw the produce at each other.,A *man* and a *woman* are *looking* *at* *produce* on display.,*Two* *men* *throw* *produce* *at* *each* *other* for fun.,"6,7,8,1,4","2,3,4,5,6,0,1",There can either be a man and a women or two men.,A *man* and a *woman* are looking at produce on display.,*Two* *men* throw produce at each other for fun.,"1,4","0,1",A man and a woman can't be two men.,A *man* and a *woman* are looking at produce on display.,Two *men* throw produce at each other for fun.,"1,4",1
4958897418.jpg#4r1e,entailment,A man and a woman are looking at produce on display.,A man and woman are looking at produce.,A man and woman is a paraphrase of a man and a woman., *A* *man* *and* *a* *woman* are looking at produce on display., *A* *man* *and* *woman* are looking at produce.,"3,1,0,2,4","0,1,2,3","""A man and woman are looking at produce"" is a shortened version of ""A man and a woman are looking at produce on display"".", A *man* *and* *a* *woman* are looking at *produce* *on* *display.*, A *man* *and* *woman* are looking at *produce.*,"9,10,8,1,2,3,4","7,1,2,3",'A man and woman are looking at produce' is a rephrasing of 'a man and a woman are looking at produce on display', A *man* and a *woman* are looking at *produce* on display., A *man* and *woman* are looking at *produce.*,"1,4,8","7,3,1"
4927150698.jpg#2r1c,contradiction,People are throwing tomatoes at each other.,The people are sitting and eating their food.,People who are eating do not throw tomatoes at each other.,People are *throwing* *tomatoes* at each other.,The people are *sitting* and *eating* their food.,"2,3","5,3",People can't be throwing tomatoes at each other and sitting and eating at the same time.,People are *throwing* *tomatoes* at each other.,The people are *sitting* *and* *eating* their food.,"2,3","3,5,4",People can either be throwing their food or eating their food.,People are *throwing* tomatoes at each other.,The people are sitting and *eating* their food.,2,5
4927150698.jpg#2r1n,neutral,People are throwing tomatoes at each other.,The men are covered in tomatoes.,People can mean that it is not just men.,People are throwing tomatoes at each other., The *men* are covered in tomatoes.,{},1,"Even though they are throwing tomatoes at each other, doesn't mean they would be covered - they could be missing each other.",People are throwing tomatoes at each other., The *men* *are* *covered* in tomatoes.,{},"2,3,1","People throwing tomatoes at each other may miss, and then no one will be covered in tomatoes.",People are throwing tomatoes at each other., The men are *covered* *in* *tomatoes.*,{},"5,3,4"
4927150698.jpg#2r1e,entailment,People are throwing tomatoes at each other.,The people are having a food fight.,It is implied that throwing tomatoes at each other is having a food fight., People are *throwing* *tomatoes* at each other., The people are having a *food* *fight.*,"2,3","5,6",A tomato is a type of food, People are throwing *tomatoes* at each other., The people are having a *food* fight.,3,5,People throwing tomatoes at each other is a food fight., *People* are *throwing* *tomatoes* *at* *each* *other.*, The people are having a food fight.,"0,2,3,4,5,6",{}
4718126728.jpg#2r1e,entailment,People standing in line of a beer and curry line.,People standing in line,The people standing in a line probably want something, *People* *standing* in *line* of a beer and curry line., *People* *standing* in *line*,"0,1,3","3,0,1",People standing in line of a beer and curry line are still standing in line., People *standing* *in* *line* *of* *a* *beer* *and* *curry* *line.*, People *standing* *in* *line*,"1,2,3,4,6,5,7,8,9","1,2,3","People standing in line is a rephrasing of "" standing in line of """, People *standing* *in* *line* *of* a beer and curry line., People *standing* *in* *line*,"1,2,3,4","1,2,3"
4718126728.jpg#2r1n,neutral,People standing in line of a beer and curry line.,People happily standing in line,People rarely happily stand in line.,People standing in line of a beer and curry line., People *happily* standing in line,{},1,There is no implication that the people standing in line are doing it happily,People standing in line of a beer and curry line., People *happily* standing in line,{},1,People who are standing in line may not necessarily be doing so happily.,People standing in line of a beer and curry line., People *happily* standing in line,{},1
4718126728.jpg#2r1c,contradiction,People standing in line of a beer and curry line.,People not standing in line,People cannot being standing in line and not standing in line at the same time.,*People* *standing* *in* *line* of a beer and curry line.,People *not* *standing* *in* *line*,"0,1,2,3","1,2,3,4",People standing on beer and curry line,*People* standing in line of a *beer* and *curry* *line.*,*People* not standing in *line*,"8,6,0,9","0,4",People cannot be standing in line and not standing in line simultaneously.,People *standing* *in* *line* of a beer and curry line.,People *not* *standing* *in* *line*,"1,2,3","1,2,3,4"
444803340.jpg#4r1c,contradiction,A man and a woman are talking in a park,A man and woman are talking in the aquarium.,They cannot be talking in a park if they are talking in the aquarium.,A man and a woman are *talking* *in* *a* *park*,A man and woman are *talking* *in* *the* *aquarium.*,"6,7,9,8","5,6,7,8",An aquarium is not a park.,A man and a woman are talking in a *park*,A man and woman are talking in the *aquarium.*,9,8,One can not be inside of an aquarium and at a park at the same time.,A man and a woman are talking in a *park*,A man and woman are talking in the *aquarium.*,9,8
444803340.jpg#4r1n,neutral,A man and a woman are talking in a park,The couple discuss their financial future in the park.,"There is nothing to indicate what they are talking about, or specifically that they are talking about their financial future.",A man and a woman are talking in a park, The couple discuss their *financial* *future* in the park.,{},"4,5",Just because it is a man and a woman doesn't mean they are a couple.,A man and a woman are talking in a park, The *couple* discuss their financial future in the park.,{},1,"People who talk in a park may discuss their financial future, but it's just as likely that they are talking about something else.",A man and a woman are talking in a park, The couple *discuss* *their* *financial* *future* in the park.,{},"2,3,4,5"
444803340.jpg#4r1e,entailment,A man and a woman are talking in a park,A pair of people are talking outdoors.,A pair is composed of a man and a woman.  A park is always outdoors., A *man* and a *woman* are talking in a *park*, A *pair* of people are talking *outdoors.*,"1,4,9","1,6",Man and woman make a pair; the park is outdoors., A *man* *and* a *woman* are talking *in* a *park*, A *pair* of people are talking *outdoors.*,"1,4,2,7,9","1,6",A man and a woman talking means there is a pair of people and in a park means are outdoors., A *man* *and* *a* *woman* are talking in a *park*, A *pair* *of* *people* are talking *outdoors.*,"1,4,3,2,9","1,2,3,6"
4837051771.jpg#2r1c,contradiction,A small ice cream stand with two people standing near it.,Two people selling ice cream from a car.,The two people cannot be both near an ice cream stand and be selling from a car simultaneously,A small *ice* *cream* *stand* with two people standing near it.,Two people selling ice cream from a *car.*,"4,2,3",7,An ice cream shop running near by my car parking area.,A small *ice* *cream* stand with two people standing near it.,Two people selling ice cream from a *car.*,"2,3",7,The ice cream must either be sold from the car or from a stand.,A small ice cream *stand* with two people standing near it.,Two people selling ice cream from a *car.*,4,7
4837051771.jpg#2r1e,entailment,A small ice cream stand with two people standing near it.,Two people standing outside an ice cream stand.,Peoples are standing outside to buy ice cream., A small ice cream stand with two people *standing* near it., Two *people* standing *outside* *an* *ice* *cream* stand.,8,"1,5,6,4,3",two people stands near ice cream stand, A small ice cream stand with *two* *people* standing near it., Two *people* *standing* outside an *ice* *cream* stand.,"6,7","1,2,6,5",If the people are near the stand they are outside it., A small ice cream stand with two people standing *near* *it.*, Two people *standing* *outside* an ice cream stand.,"9,10","2,3"
4837051771.jpg#2r1n,neutral,A small ice cream stand with two people standing near it.,Two people in line to buy icecream.,Being near a stand doesn't mean you have to buy anything.,A small ice cream stand with two people standing near it., Two people in line to *buy* icecream.,{},5,"Just because two people are standing near an ice cream stand, doesn't mean they are in line to buy ice cream.",A small ice cream stand with two people standing near it., Two people *in* *line* to buy icecream.,{},"2,3",People who are standing near an ice cream stand are not always in line to buy ice cream.,A small ice cream stand with two people standing near it., Two people *in* *line* to buy icecream.,{},"3,2"
4639918324.jpg#3r1c,contradiction,Number 916 is hoping that he is going to win the race.,A person is is playing baseball.,One person is playing baseball while Number 916 is hoping to win a race.,Number 916 is *hoping* *that* *he* *is* *going* *to* *win* *the* *race.*,A person is is *playing* *baseball.*,"3,4,5,6,7,8,9,10,11","4,5",The game of baseball is not a race.,Number 916 is hoping that he is going *to* *win* *the* *race.*,A person is is *playing* *baseball.*,"10,11,8,9","5,4",Baseball isn't a race.,Number 916 is hoping that he is going to win the *race.*,A person is is playing *baseball.*,11,5
4639918324.jpg#3r1n,neutral,Number 916 is hoping that he is going to win the race.,A person is betting that he will win  the race.,Number 916 might not be a person. Just because he is hoping that he is going to win doesn't mean he is betting that he will win.,Number 916 is hoping that he is going to win the race., A *person* is *betting* that he will win  the race.,{},"1,3",A person hoping to win a race need not necessarily be betting that he will win the race.,Number 916 is hoping that he is going to win the race., A person is *betting* that he will win  the race.,{},3,Just because a person is hoping he will win the race it does not mean they were betting.,Number 916 is hoping that he is going to win the race., A *person* is *betting* that *he* *will* *win*  *the* *race.*,{},"1,3,5,6,7,9,10"
4639918324.jpg#3r1e,entailment,Number 916 is hoping that he is going to win the race.,A person is competing in a race.,The person is competing because he is hoping that he wins the race., Number 916 is *hoping* that he is going to *win* the *race.*, A person is *competing* in a *race.*,"9,11,3","3,6",Hoping that he is going to win implies competing., Number 916 is *hoping* *that* *he* *is* *going* *to* *win* the race., A person is *competing* in a race.,"3,4,5,6,7,8,9",3,"Number 916 is a person, and hoping that he is going to win implies competing.", *Number* *916* is *hoping* *that* *he* *is* *going* *to* *win* the race., A *person* is *competing* in a race.,"0,1,3,4,5,6,7,8,9","1,3"
3690358925.jpg#3r1c,contradiction,Girl plays with colorful letters on the floor.,The girl is playing a video game in the bath.,The girl is either on the floor or in the bath. The girl is either playing with letters or a video game.,Girl plays with *colorful* *letters* on the *floor.*,The girl is playing a *video* *game* in the *bath.*,"4,3,7","5,6,9",A girl cannot play with colorful letters on the floor and be playing a videogame in the bath at the same time.,Girl *plays* *with* *colorful* *letters* *on* *the* *floor.*,The girl is *playing* *a* *video* *game* *in* *the* *bath.*,"1,5,6,7,2,3,4","3,4,5,6,7,8,9",The girl in the first sentence plays with colorful letters and the girl in the second sentence is playing a video game.,Girl *plays* *with* *colorful* *letters* on the floor.,The girl is *playing* *a* *video* *game* in the bath.,"1,2,3,4","3,4,5,6"
3690358925.jpg#3r1n,neutral,Girl plays with colorful letters on the floor.,The girl is spelling out her favorite words with colored letters.,Just because she is playing with letters does not mean she is spelling out words.,Girl plays with colorful letters on the floor., The girl is *spelling* out her favorite *words* with colored letters.,{},"7,3",Spelling out her favorite words in not the only way for a girl to play with colorful letters.,Girl plays with colorful letters on the floor., The girl is *spelling* *out* *her* *favorite* *words* with colored letters.,{},"3,4,5,6,7",Just because the girl plays with colorful letters it does not mean she is spelling out her favorite words.,Girl plays with colorful letters on the floor., The *girl* is *spelling* *out* *her* *favorite* *words* *with* *colored* *letters.*,{},"3,4,5,6,7,8,9,10,1"
